City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Bollnäs,71,SE,1584226879,66,61.35,16.39,29.17,13.71
Avarua,26,CK,1584226879,74,-21.21,-159.78,84.2,6.93
Rikitea,0,PF,1584226880,78,-23.12,-134.97,78.26,12.12
Ponta do Sol,75,PT,1584226881,77,32.67,-17.1,59.0,8.05
Hilo,90,US,1584226881,78,19.73,-155.09,77.0,6.93
Masuguru,100,TZ,1584226881,98,-11.37,38.42,73.24,0.94
Brewster,1,US,1584226882,34,41.4,-73.62,51.8,10.29
Carnarvon,75,AU,1584226701,78,-24.87,113.63,77.0,6.93
Albany,75,US,1584226883,48,42.6,-73.97,42.01,16.11
Mataura,100,NZ,1584226883,75,-46.19,168.86,62.01,1.99
Saskylakh,97,RU,1584226883,95,71.92,114.08,2.35,11.18
Dingle,23,PH,1584226884,76,11.0,122.67,77.43,7.9
Longyearbyen,75,SJ,1584226885,64,78.22,15.64,-0.4,5.82
Outjo,29,NA,1584226885,72,-20.12,16.15,68.0,8.16
Ushuaia,40,AR,1584226827,62,-54.8,-68.3,53.6,6.93
Arraial do Cabo,20,BR,1584226701,94,-22.97,-42.03,77.0,4.7
Along,95,IN,1584226885,88,28.17,94.77,59.11,3.87
Barrow,40,US,1584226885,77,71.29,-156.79,6.8,27.51
Roebourne,51,AU,1584226886,55,-20.78,117.13,84.97,13.31
Springbok,2,ZA,1584226886,82,-29.66,17.89,50.85,3.13
Morant Bay,40,JM,1584226886,62,17.88,-76.41,86.0,9.17
Traralgon,0,AU,1584226886,76,-38.18,146.53,60.01,1.01
Padang,67,ID,1584226887,92,-0.95,100.35,69.39,4.65
Nikolskoye,76,RU,1584226888,45,59.7,30.79,25.0,13.42
Anjozorobe,75,MG,1584226888,88,-18.4,47.87,66.2,4.7
Salalah,75,OM,1584226888,61,17.02,54.09,77.0,8.05
Chengde,0,CN,1584226888,56,40.97,117.94,33.39,4.38
Nizhnevartovsk,75,RU,1584226888,98,60.93,76.55,35.6,11.18
Flinders,97,AU,1584226889,51,-34.58,150.86,66.0,12.75
Morón,90,AR,1584226664,94,-34.65,-58.62,69.8,6.93
New Norfolk,40,AU,1584226890,67,-42.78,147.06,59.0,5.82
Busselton,80,AU,1584226890,98,-33.65,115.33,64.99,13.04
Chokurdakh,7,RU,1584226890,91,70.63,147.92,-20.63,2.89
Ilhabela,0,BR,1584226890,87,-23.78,-45.36,77.38,12.86
Punta Arenas,75,CL,1584226823,67,-53.15,-70.92,57.2,16.11
Sumkino,10,RU,1584226891,92,58.11,68.32,30.61,7.74
Kapaa,1,US,1584226891,57,22.08,-159.32,78.8,11.41
Tiksi,14,RU,1584226891,71,71.69,128.87,-14.58,6.55
Hobart,75,AU,1584226625,76,-42.88,147.33,61.0,5.82
Yinchuan,48,CN,1584226895,25,38.47,106.27,34.56,1.21
Jamestown,90,US,1584226862,80,42.1,-79.24,37.99,6.93
Oodweyne,3,SO,1584226870,84,9.41,45.06,63.54,2.35
Cherskiy,100,RU,1584226780,91,68.75,161.3,-2.74,3.11
Aktau,100,KZ,1584226896,93,43.65,51.2,48.2,6.71
Dikson,51,RU,1584226896,99,73.51,80.55,-18.27,8.41
Fortuna,20,US,1584226896,75,40.6,-124.16,51.01,9.17
Lompoc,90,US,1584226657,62,34.64,-120.46,60.8,10.29
Conde,64,BR,1584226897,74,-7.26,-34.91,82.4,9.17
Houma,1,US,1584226897,50,29.6,-90.72,79.0,11.41
Port Alfred,95,ZA,1584226897,87,-33.59,26.89,68.0,4.0
Airai,9,TL,1584226897,54,-8.93,125.41,76.75,1.7
East London,56,ZA,1584226897,78,-33.02,27.91,72.68,9.78
Ilhéus,40,BR,1584226827,78,-14.79,-39.05,82.4,9.17
Cape Town,75,ZA,1584226803,82,-33.93,18.42,66.0,18.34
Valparaíso,0,CL,1584226898,43,-33.04,-71.63,73.4,16.11
Lüderitz,0,NA,1584226898,64,-26.65,15.16,69.8,9.17
Bredasdorp,83,ZA,1584226898,82,-34.53,20.04,66.2,3.36
Santa Cruz de la Sierra,40,BO,1584226708,49,-17.8,-63.17,93.2,11.41
Bluff,100,NZ,1584226899,75,-46.6,168.33,62.01,1.99
Dunmore East,95,IE,1584226899,89,52.15,-6.99,48.99,5.99
Vila,0,PT,1584226899,93,42.03,-8.16,52.0,1.12
Lagoa,16,PT,1584226899,81,39.05,-27.98,59.9,10.02
Zakopane,12,PL,1584226899,67,49.3,19.95,28.99,2.24
Leningradskiy,49,RU,1584226899,71,69.38,178.42,1.45,10.74
Faanui,8,PF,1584226899,75,-16.48,-151.75,83.12,14.47
Port Moresby,75,PG,1584226900,94,-9.44,147.18,77.0,11.41
Provideniya,78,RU,1584226900,79,64.38,-173.3,23.22,6.29
Piedecuesta,40,CO,1584226900,88,6.99,-73.05,75.2,5.82
Mehamn,100,NO,1584226900,92,71.04,27.85,15.26,16.44
Vaini,75,TO,1584226900,79,-21.2,-175.2,86.0,18.34
Xochitlan Todos Santos,19,MX,1584226900,26,18.7,-97.78,86.0,7.0
Athabasca,100,CA,1584226809,81,54.72,-113.29,4.32,3.29
Kaeo,0,NZ,1584226901,58,-35.1,173.78,75.0,1.99
Pontianak,94,ID,1584226901,95,-0.03,109.33,75.52,1.7
College,90,US,1584226901,67,64.86,-147.8,24.01,3.36
Camacha,75,PT,1584226901,63,33.08,-16.33,60.8,12.75
Pisco,99,PE,1584226902,30,-13.7,-76.22,75.99,23.04
Ancud,39,CL,1584226902,71,-41.87,-73.82,55.4,6.93
Nouadhibou,0,MR,1584226902,77,20.93,-17.03,66.2,19.46
Ilulissat,98,GL,1584226780,70,69.22,-51.1,1.4,6.93
Hithadhoo,64,MV,1584226650,64,-0.6,73.08,82.83,3.47
Asău,75,RO,1584226902,56,46.43,26.4,41.0,9.17
Souillac,40,MU,1584226863,88,-20.52,57.52,77.0,7.54
Westport,90,US,1584226902,29,41.14,-73.36,53.01,12.75
Varhaug,75,NO,1584226903,93,58.61,5.65,43.0,26.4
Koumac,100,NC,1584226903,87,-20.57,164.28,78.26,29.84
Ahipara,0,NZ,1584226903,68,-35.17,173.17,66.87,8.57
Kieta,100,PG,1584226663,75,-6.22,155.63,84.94,14.74
Torbay,20,CA,1584226903,80,47.67,-52.73,36.0,31.09
Vardø,71,NO,1584226904,63,70.37,31.11,22.39,25.59
Castro,0,BR,1584226904,67,-24.79,-50.01,64.4,2.06
Hay River,75,CA,1584226886,40,60.82,-115.8,14.0,12.75
Chui,67,UY,1584226904,90,-33.7,-53.46,71.71,6.42
Taksimo,92,RU,1584226904,89,56.34,114.88,1.65,0.22
Atuona,21,PF,1584226904,72,-9.8,-139.03,82.04,10.89
Hofn,98,IS,1584226905,68,64.25,-15.21,30.9,19.55
Victor Harbor,1,AU,1584226634,54,-35.57,138.62,62.01,6.93
Lorengau,95,PG,1584226905,76,-2.02,147.27,84.06,11.79
Tuatapere,100,NZ,1584226906,75,-46.13,167.68,62.01,1.99
Puerto Ayora,20,EC,1584226906,70,-0.74,-90.35,84.2,8.05
Qaanaaq,0,GL,1584226906,58,77.48,-69.36,-20.81,5.75
Aasiaat,100,GL,1584226906,93,68.71,-52.87,-6.57,6.2
Khatanga,100,RU,1584226906,86,71.97,102.5,26.08,9.66
Pauini,100,BR,1584226907,82,-7.71,-66.98,78.76,2.46
Thompson,20,CA,1584226660,46,55.74,-97.86,8.6,3.36
Dapitan,44,PH,1584226909,78,8.65,123.42,78.3,5.7
Tabora,94,TZ,1584226909,90,-5.02,32.8,63.93,2.57
Sørland,100,NO,1584226910,66,67.67,12.69,40.32,37.29
Ponta Delgada,20,PT,1584226910,82,37.73,-25.67,55.4,4.7
Caravelas,82,BR,1584226910,79,-17.71,-39.25,80.58,15.37
Healdsburg,90,US,1584226910,66,38.61,-122.87,57.2,12.75
Grand Gaube,40,MU,1584226911,88,-20.01,57.66,77.0,10.02
Vilhena,100,BR,1584226911,95,-12.74,-60.15,72.54,3.2
Barranca,75,PE,1584226911,89,-10.75,-77.77,74.14,13.67
Saint Paul Harbor,1,US,1584226911,59,57.79,-152.41,37.4,3.36
Saint-Philippe,59,RE,1584226911,83,-21.36,55.77,77.0,8.05
Husavik,20,IS,1584226911,84,66.04,-17.34,6.8,2.24
Voh,99,NC,1584226911,79,-20.97,164.7,84.16,30.94
Tuktoyaktuk,75,CA,1584226911,85,69.45,-133.04,23.0,29.97
Goderich,100,CA,1584226912,81,43.75,-81.72,33.01,8.93
Gravdal,100,NO,1584226912,69,68.12,13.5,38.86,37.69
Deputatsky,0,RU,1584226827,91,69.3,139.9,-28.21,1.9
Tabas,62,IR,1584226912,11,33.6,56.92,64.4,4.7
Whitianga,1,NZ,1584226912,67,-36.83,175.7,77.0,3.0
Touros,20,BR,1584226912,88,-5.2,-35.46,78.8,6.93
Ketchikan,1,US,1584226849,38,55.34,-131.65,41.0,17.22
Coyhaique,75,CL,1584226896,54,-45.58,-72.07,59.0,6.64
Aklavik,75,CA,1584226913,55,68.22,-135.01,33.8,5.82
Bam,100,IR,1584226913,12,29.11,58.36,70.45,10.63
Kruisfontein,26,ZA,1584226726,85,-34.0,24.73,62.74,7.72
Grindavik,75,IS,1584226913,68,63.84,-22.43,26.6,8.05
Arlit,0,NE,1584226891,14,18.74,7.39,69.28,8.68
Port Hedland,3,AU,1584226913,83,-20.32,118.57,77.0,8.05
Tucumcari,1,US,1584226914,30,35.17,-103.72,68.0,19.46
Bonavista,42,CA,1584226914,80,48.65,-53.11,35.01,21.0
Lebu,0,CL,1584226914,71,-37.62,-73.65,56.14,11.27
Norman Wells,90,CA,1584226914,85,65.28,-126.83,17.6,2.24
Laas,79,IT,1584226914,79,46.62,10.7,41.0,2.24
Srednekolymsk,100,RU,1584226914,91,67.45,153.68,-7.26,16.08
Nioro,8,GM,1584226915,15,13.35,-15.75,79.92,11.43
Nizwá,100,OM,1584226684,20,22.93,57.53,61.74,1.3
China,96,MX,1584226915,45,25.7,-99.23,85.41,20.13
